2025-06-08 23:09:59,107 | ERROR    | darts.models.forecasting.regression_model | ValueError: The `past_covariates` are not long enough. Given horizon `n=3947`, `min(lags_past_covariates)=-24`, `max(lags_past_covariates)=-1` and `output_chunk_length=3`, the `past_covariates` have to range from 2024-07-19 13:00:00 until 2024-12-31 20:00:00 (inclusive), but they only range from 2024-07-20 13:00:00 until 2024-12-31 23:00:00.
2025-06-08 23:17:05,448 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 23:17:05,460 | INFO     | run_experiments | === Begin experiment: full_weather ===
2025-06-08 23:17:05,460 | INFO     | src.experiments | [full_weather] Start experiment
2025-06-08 23:17:05,532 | INFO     | src.experiments | [full_weather] Using past covariates: ['station_pressure', 'sea_level_pressure', 'temperature', 'dew_point_temperature', 'relative_humidity', 'vapor_pressure', 'avg_wind_speed', 'avg_wind_direction', 'precipitation', 'precipitation_hours', 'sunshine_hours', 'pressure_trend', 'solar_radiation', 'saturation_vapor_pressure', 'uv_index']
2025-06-08 23:17:05,539 | INFO     | src.experiments | [full_weather] Running GridSearch
2025-06-08 23:21:41,619 | INFO     | darts.models.forecasting.forecasting_model | Chosen parameters: {'lags': 24, 'lags_past_covariates': 24, 'lags_future_covariates': [0], 'output_chunk_length': 3, 'n_estimators': 50, 'max_depth': 10, 'random_state': 42}
2025-06-08 23:21:41,622 | INFO     | src.experiments | [full_weather] Fitting model
2025-06-08 23:22:59,704 | INFO     | src.experiments | [full_weather] Making predictions
2025-06-08 23:22:59,705 | INFO     | src.experiments | [full_weather] Direct predict
2025-06-08 23:22:59,705 | WARNING  | darts.models.forecasting.forecasting_model | `predict()` was called with `n > output_chunk_length`: using auto-regression to forecast the values after `output_chunk_length` points. The model will access `(n - output_chunk_length)` future values of your `past_covariates` (relative to the first predicted time step). To hide this warning, set `show_warnings=False`.
2025-06-08 23:23:00,307 | INFO     | src.experiments | [full_weather] Metrics: MAE=688.8641, MSE=1855661.2193
2025-06-08 23:23:00,316 | INFO     | src.experiments | [full_weather] Experiment finished
2025-06-08 23:23:00,317 | INFO     | run_experiments | === Finished experiment: full_weather ===

2025-06-08 23:23:00,317 | INFO     | run_experiments | All experiments completed successfully
2025-06-08 23:25:15,287 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 23:25:15,299 | INFO     | run_experiments | === Begin experiment: full_weather ===
2025-06-08 23:25:15,300 | INFO     | src.experiments | [full_weather] Start experiment
2025-06-08 23:25:15,370 | INFO     | src.experiments | [full_weather] Using past covariates: ['station_pressure', 'sea_level_pressure', 'temperature', 'dew_point_temperature', 'relative_humidity', 'vapor_pressure', 'avg_wind_speed', 'avg_wind_direction', 'precipitation', 'precipitation_hours', 'sunshine_hours', 'pressure_trend', 'solar_radiation', 'saturation_vapor_pressure', 'uv_index']
2025-06-08 23:25:15,378 | INFO     | src.experiments | [full_weather] Running GridSearch
2025-06-08 23:33:03,375 | INFO     | darts.models.forecasting.forecasting_model | Chosen parameters: {'lags': 168, 'lags_past_covariates': 24, 'lags_future_covariates': [0], 'output_chunk_length': 3, 'n_estimators': 50, 'max_depth': 10, 'random_state': 42}
2025-06-08 23:33:03,378 | INFO     | src.experiments | [full_weather] Fitting model
2025-06-08 23:35:11,459 | INFO     | src.experiments | [full_weather] Making predictions
2025-06-08 23:35:11,459 | INFO     | src.experiments | [full_weather] Direct predict
2025-06-08 23:35:11,459 | WARNING  | darts.models.forecasting.forecasting_model | `predict()` was called with `n > output_chunk_length`: using auto-regression to forecast the values after `output_chunk_length` points. The model will access `(n - output_chunk_length)` future values of your `past_covariates` (relative to the first predicted time step). To hide this warning, set `show_warnings=False`.
2025-06-08 23:35:12,071 | INFO     | src.experiments | [full_weather] Metrics: MAE=680.4235, MSE=1822711.5353
2025-06-08 23:35:12,082 | INFO     | src.experiments | [full_weather] Experiment finished
2025-06-08 23:35:12,082 | INFO     | run_experiments | === Finished experiment: full_weather ===

2025-06-08 23:35:12,082 | INFO     | run_experiments | All experiments completed successfully
2025-06-09 00:10:39,021 | INFO     | run_experiments | Starting Ablation experiments
2025-06-09 00:10:39,038 | INFO     | run_experiments | === Begin experiment: full_weather ===
2025-06-09 00:10:39,038 | INFO     | src.experiments | [full_weather] Start experiment
2025-06-09 00:10:39,110 | INFO     | src.experiments | [full_weather] Using past covariates: ['station_pressure', 'sea_level_pressure', 'temperature', 'dew_point_temperature', 'relative_humidity', 'vapor_pressure', 'avg_wind_speed', 'avg_wind_direction', 'precipitation', 'precipitation_hours', 'sunshine_hours', 'pressure_trend', 'solar_radiation', 'saturation_vapor_pressure', 'uv_index']
2025-06-09 00:10:39,118 | INFO     | src.experiments | [full_weather] Running GridSearch
2025-06-09 00:18:51,284 | INFO     | darts.models.forecasting.forecasting_model | Chosen parameters: {'lags': 72, 'lags_past_covariates': 24, 'lags_future_covariates': [0], 'output_chunk_length': 3, 'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1, 'random_state': 42}
2025-06-09 00:18:51,290 | INFO     | src.experiments | [full_weather] Fitting model
